epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8865,1.69943,3.02965,1.7984,0.16265,0.29699,0.21757,0.09907,1.80011,3.0947,2.05019,0.00032963,0.00032963,0.00032963
2,25.7462,1.58879,2.24785,1.69205,0.46599,0.43849,0.32502,0.12109,2.11993,3.47121,2.31079,0.0006564,0.0006564,0.0006564
3,36.3299,1.58359,2.08453,1.66743,0.2575,0.36057,0.29657,0.1214,2.10806,2.35375,2.23325,0.00097657,0.00097657,0.00097657
4,46.5836,1.57011,1.99401,1.65721,0.4099,0.46015,0.36475,0.14674,2.06349,2.58704,2.18822,0.0009703,0.0009703,0.0009703
5,55.2336,1.56971,1.91125,1.6489,0.54458,0.44809,0.41502,0.19277,1.81723,2.08566,1.96152,0.0009604,0.0009604,0.0009604
6,67.433,1.51783,1.82845,1.60447,0.40291,0.59841,0.51166,0.22511,1.79656,1.99251,1.95303,0.0009505,0.0009505,0.0009505
7,78.1679,1.48428,1.72247,1.57495,0.48101,0.49239,0.49091,0.21923,1.74008,1.9571,1.91888,0.0009406,0.0009406,0.0009406
8,90.1683,1.47153,1.70709,1.59051,0.53418,0.6001,0.57146,0.27046,1.71397,1.95815,1.87302,0.0009307,0.0009307,0.0009307
9,102.573,1.47189,1.64426,1.57383,0.53649,0.57508,0.59261,0.2737,1.70996,1.71712,1.94323,0.0009208,0.0009208,0.0009208
10,112.556,1.43249,1.60488,1.55316,0.53791,0.6058,0.59056,0.27675,1.7686,1.79523,2.01368,0.0009109,0.0009109,0.0009109
11,125.219,1.45126,1.62666,1.57236,0.66703,0.493,0.54733,0.23413,1.87436,1.78015,1.97582,0.000901,0.000901,0.000901
12,137.621,1.44457,1.55393,1.56352,0.57179,0.54128,0.57376,0.27345,1.66841,1.72555,1.87627,0.0008911,0.0008911,0.0008911
13,148.23,1.45288,1.60377,1.58034,0.68504,0.5234,0.58486,0.27982,1.70321,1.70756,1.84249,0.0008812,0.0008812,0.0008812
14,161.183,1.41468,1.51782,1.54311,0.55013,0.58409,0.57951,0.27334,1.78221,1.67187,1.90417,0.0008713,0.0008713,0.0008713
15,172.475,1.43166,1.51236,1.53716,0.55579,0.54253,0.56085,0.25965,1.77456,1.7946,1.95283,0.0008614,0.0008614,0.0008614
16,185.386,1.40811,1.49824,1.53283,0.57795,0.43698,0.46191,0.20542,1.90173,2.01064,1.96754,0.0008515,0.0008515,0.0008515
17,197.9,1.42404,1.49321,1.53603,0.55392,0.6052,0.61845,0.28751,1.72375,1.66033,1.88415,0.0008416,0.0008416,0.0008416
18,209.056,1.42518,1.48606,1.53242,0.60115,0.59067,0.63729,0.30791,1.65658,1.53987,1.84631,0.0008317,0.0008317,0.0008317
19,221.169,1.37834,1.41504,1.50769,0.45788,0.57317,0.54891,0.25382,1.78403,1.64368,1.91311,0.0008218,0.0008218,0.0008218
20,232.17,1.37327,1.44159,1.5227,0.67092,0.59035,0.66444,0.31428,1.65855,1.57336,1.85808,0.0008119,0.0008119,0.0008119
21,242.131,1.36953,1.39995,1.50401,0.59517,0.63374,0.68139,0.33514,1.60826,1.51221,1.80603,0.000802,0.000802,0.000802
22,253.008,1.35538,1.40698,1.49648,0.52865,0.63794,0.64978,0.32101,1.67674,1.52626,1.88984,0.0007921,0.0007921,0.0007921
23,263.359,1.3702,1.38748,1.50172,0.5372,0.63676,0.62896,0.31567,1.62463,1.57848,1.82647,0.0007822,0.0007822,0.0007822
24,272.941,1.38105,1.43421,1.51922,0.62005,0.60569,0.66763,0.32417,1.63763,1.48594,1.81517,0.0007723,0.0007723,0.0007723
25,285.938,1.34391,1.36839,1.49034,0.60422,0.60451,0.65614,0.32091,1.65039,1.51597,1.86472,0.0007624,0.0007624,0.0007624
26,296.921,1.34052,1.37883,1.49569,0.63635,0.57976,0.61625,0.29134,1.69712,1.62552,1.9153,0.0007525,0.0007525,0.0007525
27,310.586,1.3521,1.37568,1.49294,0.61157,0.62587,0.67362,0.3506,1.57732,1.49182,1.78364,0.0007426,0.0007426,0.0007426
